#{"t_start": 1694254663.1472363, "env_id": null}
r,l,t
5.631625,25,7.132209
4.209548,18,10.662937
4.833336,18,14.249524
8.719537,27,19.658994
4.655698,19,23.338917
10.069831,32,29.567797
7.131097,32,35.978138
5.304239,23,40.489308
4.292878,22,44.844481
8.044421,23,49.394048
2.500437,14,52.129404
5.626539,25,57.209031
3.64705,17,60.516968
6.37494,20,64.518403
6.536217,22,68.801753
6.04429,25,73.74126
11.160604,37,81.080288
9.783668,28,86.633717
6.543253,25,91.557013
9.786315,43,100.160703
6.84881,25,106.204561
8.02789,22,110.529093
9.991442,34,117.201323
6.845461,20,121.091492
9.207734,26,126.379251
11.329807,31,132.497275
8.028145,25,137.37421
10.533254,28,142.977026
5.379261,18,146.485284
4.169112,17,149.806193
5.946083,21,153.956726
2.68528,14,156.754786
4.993045,19,160.515463
6.010509,19,164.29841
7.859662,26,169.451641
9.392492,23,174.179644
3.264181,15,177.112905
6.562792,20,180.955719
2.635858,17,184.393156
6.502012,24,189.044378
11.011432,26,194.320508
2.810572,16,197.555288
4.245491,17,200.86123
7.090577,24,205.611422
11.469339,43,215.850359
10.269421,42,224.176123
5.939768,23,228.690776
29.595343,51,238.851305
11.452564,39,246.556902
8.511297,26,251.790154
4.871101,19,255.549107
10.274747,30,261.367303
4.802606,22,265.849203
8.712289,30,271.744519
8.203451,23,276.357325
11.777738,28,281.868508
6.342388,20,285.86253
9.658864,29,291.516402
13.489722,35,298.502814
8.551097,28,304.05172
8.324589,37,312.346381
10.461794,27,317.715669
7.405077,26,322.950419
10.214781,36,330.173196
4.518157,18,333.694643
10.277255,48,343.165568
3.415964,16,346.439677
7.082015,21,350.513016
9.947906,34,357.42038
9.735264,36,364.486689
7.375959,24,369.154675
11.861984,48,378.85577
11.646071,34,385.561863
10.672776,40,393.456733
10.664779,24,398.273098
4.149361,19,402.062728
4.516928,20,406.096933
14.155231,43,416.217793
10.125951,36,423.406973
12.763883,42,431.795723
7.30314,23,436.276185
14.282432,49,446.060574
7.42076,21,450.100697
10.654196,33,456.542689
12.022299,42,464.847975
10.253194,43,473.405976
9.774259,39,481.206033
4.26058,20,485.068593
7.940873,29,490.985129
17.501496,41,499.002137
11.160281,28,504.621398
7.558471,23,509.245903
10.733794,40,518.739914
5.632176,25,523.693764
10.709495,27,529.142245
8.060443,24,533.764035
7.197897,23,538.331531
5.503663,19,542.001925
4.655952,24,546.763632
10.558954,37,554.112402
5.448858,19,557.92325
9.919323,33,564.517036
7.75764,28,570.086986
11.257924,45,578.988946
10.359574,32,585.272481
10.578185,41,593.473889
7.467766,21,597.678734
13.382201,42,605.984522
10.387294,34,612.885396
3.696387,16,615.993006
8.986651,23,621.593707
10.966436,27,626.944109
2.144949,15,629.959712
9.918039,46,639.050877
10.222762,41,647.278341
9.763386,44,656.053071
7.60234,26,661.117182
11.831263,37,668.559118
11.279719,33,675.04332
15.294696,45,683.894258
8.445812,26,689.052279
9.673723,26,694.201863
10.13609,45,703.127008
10.535306,37,710.473387
9.376747,48,720.05034
11.238578,32,728.163763
10.865967,44,736.903828
9.361254,26,742.134324
9.438841,29,747.860872
13.308255,40,755.745943
9.951451,48,765.398165
3.588049,17,768.606731
27.699723,57,779.991149
9.681293,31,786.107666
9.890367,41,794.281182
10.79697,33,800.936651
11.767268,36,807.945528
5.058445,19,811.807841
4.27639,18,815.278468
10.402977,34,822.016723
11.368765,45,832.576226
10.179952,34,839.42363
10.577465,38,847.002708
13.788538,67,860.509537
11.1657,38,867.940266
11.135988,44,876.555194
9.448399,26,881.71463
10.329594,54,892.492494
25.21708,59,904.255605
2.014995,13,906.841342
9.914665,47,916.231374
9.764791,30,922.190517
9.98323,63,935.639009
9.92299,37,942.932789
10.222231,38,950.542779
10.577041,29,956.336843
19.182153,71,970.575291
10.293252,37,977.998106
10.21408,47,987.344182
14.798401,48,996.857955
9.349852,28,1002.437055
10.385119,36,1009.638974
10.31785,45,1018.413409
10.991389,46,1027.596421
9.364136,22,1033.476235
11.044277,36,1040.633253
10.117401,35,1047.601112
4.707197,18,1051.21103
8.398848,27,1056.558836
10.508079,28,1062.120811
10.623519,38,1069.672989
10.011113,36,1076.847153
10.609241,71,1090.970446
11.02442,36,1098.230105
9.818652,36,1105.39437
10.606117,48,1114.779021
3.937179,14,1117.567082
10.631633,53,1128.224549
10.16203,33,1136.531493
12.557841,49,1146.114879
11.421349,39,1153.820431
10.035983,30,1159.74231
10.040624,38,1167.319856
9.754544,34,1174.162701
10.486039,39,1181.90171
9.981148,45,1190.840744
10.29031,36,1197.953487
7.04692,26,1203.101824
24.293376,76,1218.193516
11.499589,42,1226.607126
2.689985,18,1230.105334
20.946794,96,1250.341525
11.103511,37,1257.73582
10.739791,31,1263.802755
9.911894,39,1271.582474
23.279151,57,1282.971084
9.676348,31,1289.151369
9.579794,34,1295.912762
10.188066,45,1304.889442
10.366933,40,1312.889678
9.212227,33,1319.42143
5.33073,18,1323.03587
9.529673,37,1330.363547
25.14508,53,1342.708034
10.235072,50,1352.369237
27.629382,90,1370.303547
10.724384,37,1377.775789
13.210184,48,1387.250619
9.901827,40,1395.232818
12.022048,41,1403.548426
10.983592,47,1412.839945
10.53169,29,1418.528232
11.867175,50,1428.416167
9.833927,40,1436.442768
25.486259,62,1450.497087
11.416925,66,1463.560894
10.402416,36,1470.727509
15.516217,63,1483.303763
23.383011,70,1497.357339
17.639677,80,1513.193846
6.996396,25,1518.159769
10.772807,42,1526.578739
9.983304,37,1533.938554
8.01367,21,1538.192888
10.160221,29,1543.765004
9.596885,45,1554.458365
11.357649,68,1567.983446
22.404261,100,1587.859556
11.660717,50,1597.747434
10.447789,98,1617.332381
11.761052,54,1628.201081
11.137564,57,1639.530091
19.145226,66,1654.164893
10.435707,41,1662.428567
10.576657,35,1669.308904
11.171091,41,1677.529636
21.850065,88,1694.872875
10.273671,47,1704.23388
10.205946,35,1711.176018
11.119321,59,1722.9688
24.616874,86,1740.151491
21.70137,76,1756.471345
10.105127,38,1763.927821
26.35428,83,1780.563819
15.267473,60,1792.555782
11.312536,55,1803.551013
7.721104,33,1810.158278
22.617,79,1825.801589
17.4166,96,1845.073303
10.636965,38,1852.607718
22.85529,72,1868.832951
25.06442,97,1888.25858
27.933252,82,1904.689507
19.011904,72,1919.071655
25.91553,100,1938.976346
15.271956,71,1953.149917
22.511472,74,1969.615554
10.149616,45,1978.478494
27.572462,89,1996.198585
25.035248,78,2011.799522
25.205557,76,2027.079384
11.531401,57,2038.306777
26.040332,93,2056.687755
18.039628,72,2072.682523
10.609372,48,2082.313247
21.342788,93,2100.817735
14.646188,103,2121.314128
11.313544,81,2137.513678
17.635285,98,2157.117687
23.928024,93,2177.259007
26.124966,78,2192.742196
21.175635,74,2207.507046
11.37882,64,2220.251283
21.071469,103,2240.779519
17.121122,60,2252.714747
10.51253,37,2260.088257
22.956248,86,2278.797346
26.25453,101,2299.001585
24.953458,81,2315.090149
23.940047,92,2333.389994
22.04717,83,2349.889385
17.065648,103,2370.403674
15.182241,103,2392.703735
11.402043,59,2404.467714
5.554822,23,2409.021763
21.47927,82,2425.378067
15.752989,61,2437.724171
15.356677,103,2458.21364
22.657301,56,2469.328146
25.030855,89,2488.552417
27.743467,88,2506.133309
21.694353,85,2523.134311
26.151573,88,2540.657908
20.333144,59,2552.437077
10.399026,51,2562.611126
22.582192,103,2583.201705
28.153454,99,2604.012081
24.117409,78,2619.528792
28.9587,68,2633.132113
