#{"t_start": 1696796687.5947456, "env_id": null}
r,l,t
2.393472,13,3.381242
9.089548,24,8.045578
2.805997,12,10.297496
5.48432,18,13.733601
9.558698,24,18.429299
7.812521,22,22.725434
5.038463,17,26.069638
5.469515,14,28.849959
8.0987,20,32.787853
3.097836,17,36.215467
11.163093,29,41.9082
8.615582,23,46.349579
7.48087,11,48.580308
4.25328,22,52.853173
7.87302,15,55.863302
9.439231,24,60.516809
5.452958,14,63.208417
2.136046,21,67.300093
7.554996,16,70.398662
2.623257,12,72.785277
6.162152,12,75.05768
6.00539,20,78.933196
