#{"t_start": 1689671617.8223248, "env_id": null}
r,l,t
1.103204,20,4.6482
0.036339,20,8.012662
1.475619,21,11.031216
-1.612614,41,17.355474
4.029911,25,21.409661
4.362201,40,27.827808
0.438457,30,32.65112
-0.088322,17,35.545689
11.708711,48,43.102311
7.414785,42,50.084371
5.99282,37,56.392046
0.302513,16,58.856615
0.625543,17,61.470866
1.302954,22,64.894393
-0.066119,18,67.698809
6.857586,26,71.717457
5.685558,21,74.98966
5.616687,19,78.232821
3.752615,36,85.23637
0.715454,33,90.43798
-1.308971,36,95.6734
2.822321,21,99.016201
-0.321643,18,102.09378
2.13398,13,104.248162
10.67574,50,112.06208
-1.232237,17,114.312725
1.927413,19,117.128364
-0.630454,30,121.724584
-1.489906,20,124.977681
8.547563,27,129.042953
-1.482813,24,132.66011
-1.877651,23,135.961275
-2.01328,32,141.326925
2.178896,46,148.403278
-2.359382,29,153.31974
1.605122,23,157.210547
